0.000000	1.022556e+06	1.022556e+06	1.959310e+08	2.764836e-02	2.764836e-02	0.000000e+00	1.217329e+06	1.217329e+06	1.319156e+08	2.216067e-02	2.216067e-02	-1.107984e+05	-4.549344e+03	-2.910958e+04	3.500000e-05	3.809413e+00	1.895700e-22	1.000000e+00
2.754763	1.138296e+06	1.023158e+06	1.959605e+08	3.078242e-02	2.766881e-02	4.187579e+05	1.355114e+06	1.218045e+06	1.349371e+08	2.523401e-02	2.268161e-02	-1.611866e+05	-4.558723e+03	-2.911836e+04	3.340716e-03	3.376118e+00	1.895700e-22	1.603636e-01
4.252815	1.297880e+06	1.024759e+06	1.960394e+08	3.511209e-02	2.772326e-02	1.047703e+06	1.545095e+06	1.219951e+06	1.383310e+08	2.949535e-02	2.328847e-02	-2.549037e+05	-4.583741e+03	-2.914180e+04	5.138378e-03	2.888739e+00	1.895700e-22	1.403367e-01
5.596860	1.495051e+06	1.027110e+06	1.961828e+08	4.047579e-02	2.780719e-02	1.950871e+06	1.779823e+06	1.222750e+06	1.416514e+08	3.479178e-02	2.390219e-02	-4.174907e+05	-4.620656e+03	-2.918444e+04	6.751232e-03	2.460689e+00	1.895700e-22	1.271176e-01
6.812188	1.716706e+06	1.029906e+06	1.964038e+08	4.652898e-02	2.791427e-02	3.183928e+06	2.043697e+06	1.226078e+06	1.446090e+08	4.078410e-02	2.446766e-02	-6.754459e+05	-4.664820e+03	-2.421534e+04	8.209625e-03	2.508716e+00	1.601162e-22	1.139234e-01
7.888809	1.946607e+06	1.032840e+06	1.967055e+08	5.284111e-02	2.803681e-02	4.747830e+06	2.317389e+06	1.229571e+06	1.471030e+08	4.704348e-02	2.496055e-02	-1.044267e+06	-4.711499e+03	-2.011641e+04	9.501571e-03	2.665119e+00	1.323149e-22	1.004037e-01
8.841006	2.175290e+06	1.035752e+06	1.970873e+08	5.916328e-02	2.817043e-02	6.612101e+06	2.589631e+06	1.233038e+06	1.492003e+08	5.331959e-02	2.538782e-02	-1.531499e+06	-4.758162e+03	-1.709527e+04	1.064421e-02	2.824420e+00	1.117713e-22	8.935894e-02
9.693943	2.399441e+06	1.038598e+06	1.975494e+08	6.541259e-02	2.831406e-02	8.746334e+06	2.856477e+06	1.236426e+06	1.510102e+08	5.952731e-02	2.576639e-02	-2.142260e+06	-4.804074e+03	-1.482590e+04	1.166773e-02	2.982332e+00	9.630719e-23	8.072650e-02
10.469678	2.618258e+06	1.041378e+06	1.980932e+08	7.157423e-02	2.846800e-02	1.111973e+07	3.116973e+06	1.239736e+06	1.526239e+08	6.564999e-02	2.611143e-02	-2.879830e+06	-4.849235e+03	-1.307842e+04	1.259861e-02	3.137190e+00	8.436523e-23	7.402929e-02
11.185419	2.831928e+06	1.044110e+06	1.987208e+08	7.766036e-02	2.863311e-02	1.370135e+07	3.371343e+06	1.242988e+06	1.541088e+08	7.169843e-02	2.643465e-02	-3.745982e+06	-4.893908e+03	-1.170032e+04	1.345750e-02	3.288526e+00	7.490912e-23	6.880759e-02
